model,method,run,group_count,group_size_mean,group_size_std,mc_edges_count,N,sources,N_perc,sources_perc,n_min_trap,n_attractors,update_scheme
n010_198.bnet,random_mc,1,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,2,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,3,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,4,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,5,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,6,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,7,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,8,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,9,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,10,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,11,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,12,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,13,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,14,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,15,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,16,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,17,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,18,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,19,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,20,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,21,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,22,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,23,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,24,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,25,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,26,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,27,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,28,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,29,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_199.bnet,sd_mc,0,1,256.0,0.0,1,10,0,8,0,1,1,asynchronous
n010_199.bnet,null_mc,0,1,256.0,0.0,1,10,0,8,0,1,1,asynchronous
n010_199.bnet,random_mc,0,1,256.0,0.0,1,10,0,8,0,1,1,asynchronous
