model,method,run,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_847.bnet,random_mc,7,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,8,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,9,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,10,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,11,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,12,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,13,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,14,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,15,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,16,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,17,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,18,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,19,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,20,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,21,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,22,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,23,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,24,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,25,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,26,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,27,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,28,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,29,5,0,112,395,512,2,asynchronous
n010_849.bnet,sd_mc,,48,0,16,0,64,2,asynchronous
n010_849.bnet,null_mc,,2,0,16,46,64,2,asynchronous
n010_849.bnet,ref,,0,0,16,48,64,2,asynchronous
n010_849.bnet,random_mc,0,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,1,3,0,16,45,64,2,asynchronous
n010_849.bnet,random_mc,2,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,3,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,4,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,5,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,6,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,7,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,8,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,9,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,10,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,11,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,12,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,13,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,14,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,15,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,16,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,17,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,18,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,19,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,20,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,21,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,22,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,23,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,24,3,0,16,45,64,2,asynchronous
n010_849.bnet,random_mc,25,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,26,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,27,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,28,2,0,16,46,64,2,asynchronous
n010_849.bnet,random_mc,29,2,0,16,46,64,2,asynchronous
n010_852.bnet,sd_mc,,304,0,480,240,1024,2,asynchronous
n010_852.bnet,null_mc,,68,0,480,476,1024,2,asynchronous
n010_852.bnet,ref,,0,0,480,544,1024,2,asynchronous
n010_852.bnet,random_mc,0,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,1,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,2,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,3,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,4,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,5,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,6,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,7,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,8,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,9,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,10,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,11,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,12,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,13,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,14,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,15,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,16,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,17,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,18,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,19,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,20,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,21,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,22,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,23,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,24,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,25,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,26,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,27,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,28,68,0,480,476,1024,2,asynchronous
n010_852.bnet,random_mc,29,68,0,480,476,1024,2,asynchronous
n010_853.bnet,sd_mc,,352,0,448,224,1024,4,asynchronous
n010_853.bnet,null_mc,,6,0,448,570,1024,4,asynchronous
n010_853.bnet,ref,,0,0,448,576,1024,4,asynchronous
n010_853.bnet,random_mc,0,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,1,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,2,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,3,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,4,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,5,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,6,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,7,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,8,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,9,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,10,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,11,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,12,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,13,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,14,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,15,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,16,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,17,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,18,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,19,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,20,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,21,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,22,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,23,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,24,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,25,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,26,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,27,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,28,6,0,448,570,1024,4,asynchronous
n010_853.bnet,random_mc,29,6,0,448,570,1024,4,asynchronous
n010_860.bnet,sd_mc,,4,0,0,0,4,2,asynchronous
n010_860.bnet,null_mc,,4,0,0,0,4,2,asynchronous
n010_860.bnet,ref,,0,0,0,4,4,2,asynchronous
n010_860.bnet,random_mc,0,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,1,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,2,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,3,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,4,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,5,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,6,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,7,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,8,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,9,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,10,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,11,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,12,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,13,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,14,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,15,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,16,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,17,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,18,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,19,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,20,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,21,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,22,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,23,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,24,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,25,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,26,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,27,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,28,4,0,0,0,4,2,asynchronous
n010_860.bnet,random_mc,29,4,0,0,0,4,2,asynchronous
n010_861.bnet,sd_mc,,33,0,446,33,512,3,asynchronous
n010_861.bnet,null_mc,,4,0,446,62,512,3,asynchronous
n010_861.bnet,ref,,0,0,446,66,512,3,asynchronous
n010_861.bnet,random_mc,0,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,1,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,2,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,3,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,4,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,5,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,6,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,7,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,8,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,9,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,10,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,11,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,12,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,13,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,14,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,15,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,16,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,17,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,18,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,19,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,20,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,21,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,22,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,23,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,24,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,25,4,0,446,62,512,3,asynchronous
n010_861.bnet,random_mc,26,4,0,446,62,512,3,asynchronous
