bnet,method,run,rmsd,n_states,n_attractors,update_scheme
n010_015.bnet,random_mc,1.0,0.15514422911771114,1024,6,asynchronous
n010_015.bnet,random_mc,2.0,0.15663015627745963,1024,6,asynchronous
n010_015.bnet,random_mc,3.0,0.15647299222655228,1024,6,asynchronous
n010_015.bnet,random_mc,4.0,0.15657342432777016,1024,6,asynchronous
n010_015.bnet,random_mc,5.0,0.1577288356013057,1024,6,asynchronous
n010_015.bnet,random_mc,6.0,0.15919985778766327,1024,6,asynchronous
n010_015.bnet,random_mc,7.0,0.15738111678037012,1024,6,asynchronous
n010_015.bnet,random_mc,8.0,0.1555041280959889,1024,6,asynchronous
n010_015.bnet,random_mc,9.0,0.15841792171005797,1024,6,asynchronous
n010_015.bnet,random_mc,10.0,0.15876946319725083,1024,6,asynchronous
n010_015.bnet,random_mc,11.0,0.1560126893471692,1024,6,asynchronous
n010_015.bnet,random_mc,12.0,0.1581433778177048,1024,6,asynchronous
n010_015.bnet,random_mc,13.0,0.15713264952402506,1024,6,asynchronous
n010_015.bnet,random_mc,14.0,0.15388503890007513,1024,6,asynchronous
n010_015.bnet,random_mc,15.0,0.15383731280090823,1024,6,asynchronous
n010_015.bnet,random_mc,16.0,0.15777178770453984,1024,6,asynchronous
n010_015.bnet,random_mc,17.0,0.1563406495059336,1024,6,asynchronous
n010_015.bnet,random_mc,18.0,0.15434162461254772,1024,6,asynchronous
n010_015.bnet,random_mc,19.0,0.15631556385077258,1024,6,asynchronous
n010_015.bnet,random_mc,20.0,0.16046275230937015,1024,6,asynchronous
n010_015.bnet,random_mc,21.0,0.15601751987663054,1024,6,asynchronous
n010_015.bnet,random_mc,22.0,0.15277656835639974,1024,6,asynchronous
n010_015.bnet,random_mc,23.0,0.15561208726872625,1024,6,asynchronous
n010_015.bnet,random_mc,24.0,0.15532664051308287,1024,6,asynchronous
n010_015.bnet,random_mc,25.0,0.1562961286626165,1024,6,asynchronous
n010_015.bnet,random_mc,26.0,0.15596557837957414,1024,6,asynchronous
n010_015.bnet,random_mc,27.0,0.15637882576168427,1024,6,asynchronous
n010_015.bnet,random_mc,28.0,0.1587586651004374,1024,6,asynchronous
n010_015.bnet,random_mc,29.0,0.15594690791469,1024,6,asynchronous
n010_016.bnet,sd_mc,,0.04810391305901359,512,3,asynchronous
n010_016.bnet,null_mc,,0.25708785167713866,512,3,asynchronous
n010_016.bnet,ref,,0.36544840918273086,512,3,asynchronous
n010_016.bnet,random_mc,0.0,0.26663331580347976,512,3,asynchronous
n010_016.bnet,random_mc,1.0,0.2718059478247563,512,3,asynchronous
n010_016.bnet,random_mc,2.0,0.26269258227849857,512,3,asynchronous
n010_016.bnet,random_mc,3.0,0.2510516079207691,512,3,asynchronous
n010_016.bnet,random_mc,4.0,0.24794308704053294,512,3,asynchronous
n010_016.bnet,random_mc,5.0,0.24282592291491964,512,3,asynchronous
n010_016.bnet,random_mc,6.0,0.2526068224421593,512,3,asynchronous
n010_016.bnet,random_mc,7.0,0.2445755185469935,512,3,asynchronous
n010_016.bnet,random_mc,8.0,0.24591319076167456,512,3,asynchronous
n010_016.bnet,random_mc,9.0,0.2603973459019628,512,3,asynchronous
n010_016.bnet,random_mc,10.0,0.2477467323393388,512,3,asynchronous
n010_016.bnet,random_mc,11.0,0.2634039649371428,512,3,asynchronous
n010_016.bnet,random_mc,12.0,0.2548971240515486,512,3,asynchronous
n010_016.bnet,random_mc,13.0,0.26959518605836846,512,3,asynchronous
n010_016.bnet,random_mc,14.0,0.23942404876795753,512,3,asynchronous
n010_016.bnet,random_mc,15.0,0.2500080104917894,512,3,asynchronous
n010_016.bnet,random_mc,16.0,0.24756557104722463,512,3,asynchronous
n010_016.bnet,random_mc,17.0,0.2586640796807629,512,3,asynchronous
n010_016.bnet,random_mc,18.0,0.26185033678698477,512,3,asynchronous
n010_016.bnet,random_mc,19.0,0.2619183104000055,512,3,asynchronous
n010_016.bnet,random_mc,20.0,0.2575209565461431,512,3,asynchronous
n010_016.bnet,random_mc,21.0,0.25666097743381544,512,3,asynchronous
n010_016.bnet,random_mc,22.0,0.2567994910851545,512,3,asynchronous
n010_016.bnet,random_mc,23.0,0.252574948164303,512,3,asynchronous
n010_016.bnet,random_mc,24.0,0.2577064588739891,512,3,asynchronous
n010_016.bnet,random_mc,25.0,0.2515055468057099,512,3,asynchronous
n010_016.bnet,random_mc,26.0,0.24810436029992003,512,3,asynchronous
n010_016.bnet,random_mc,27.0,0.25548983313281026,512,3,asynchronous
n010_016.bnet,random_mc,28.0,0.25413414112673627,512,3,asynchronous
n010_016.bnet,random_mc,29.0,0.25524014413570756,512,3,asynchronous
n010_018.bnet,sd_mc,,0.017294065435024958,128,2,asynchronous
n010_018.bnet,null_mc,,0.017294065435024958,128,2,asynchronous
n010_018.bnet,ref,,0.3783599180098412,128,2,asynchronous
n010_018.bnet,random_mc,0.0,0.017294065435024958,128,2,asynchronous
n010_018.bnet,random_mc,1.0,0.017294065435024958,128,2,asynchronous
n010_018.bnet,random_mc,2.0,0.017294065435024958,128,2,asynchronous
n010_018.bnet,random_mc,3.0,0.017294065435024958,128,2,asynchronous
n010_018.bnet,random_mc,4.0,0.017294065435024958,128,2,asynchronous
n010_018.bnet,random_mc,5.0,0.017294065435024958,128,2,asynchronous
n010_018.bnet,random_mc,6.0,0.017294065435024958,128,2,asynchronous
n010_018.bnet,random_mc,7.0,0.017294065435024958,128,2,asynchronous
